sw krw krn krwf krnf vw vn force pw pn wet peff
0.086751709 5.3241899 424.7273 3.3586171 407.00116 0.00011685214 0.0093216615 1e-05 0.326886 0.33391857 723561.95 0.0023253029
0.08385652 3.1242385 485.13668 1.6127575 464.45146 6.8568922e-05 0.010647491 1e-05 0.32648065 0.33391992 742516.35 0.0020480853
0.082941028 1.9242194 497.41453 0.79520076 476.04179 4.2231619e-05 0.010916957 1e-05 0.3262868 0.33391843 752585.51 0.0020026485
0.082696412 1.2846832 499.57053 0.36894645 477.97397 2.8195462e-05 0.010964276 1e-05 0.3261666 0.33391605 758862.9 0.001996585
0.082572282 0.92718649 499.48666 0.13648238 477.76081 2.0349336e-05 0.010962435 1e-05 0.32607961 0.33391396 763262.13 0.001998346
0.0824436 0.64768363 498.7174 -0.039021261 476.94336 1.4214974e-05 0.010945552 1e-05 0.32601156 0.33391233 766537.33 0.0020025429
0.082358622 0.51378382 498.37784 -0.12567197 476.60246 1.1276221e-05 0.0109381 1e-05 0.32597064 0.33391031 769101.14 0.0020044433
0.082302324 0.41208237 498.07558 -0.19301935 476.26464 9.044138e-06 0.010931466 1e-05 0.32593979 0.33390858 771153.46 0.0020060677
0.082235251 0.35661094 497.99092 -0.21215828 476.13281 7.8266842e-06 0.010929608 1e-05 0.32591665 0.33390681 772864.02 0.0020066318
0.082180167 0.33600995 498.23686 -0.2242014 476.29667 7.3745459e-06 0.010935005 1e-05 0.32590436 0.33390466 774295.78 0.0020057249
0.082143292 0.26786204 498.29347 -0.25063958 476.34514 5.8788763e-06 0.010936248 1e-05 0.32589298 0.33390326 775387.78 0.0020057713
0.082123869 0.24678401 498.23492 -0.25640028 476.33772 5.4162683e-06 0.010934963 1e-05 0.32588618 0.33390188 776287.28 0.0020060917
0.082100651 0.22393894 498.1885 -0.25890902 476.33752 4.9148782e-06 0.010933944 1e-05 0.32588534 0.33390044 777054.34 0.0020063705
0.082055431 0.19545616 498.21687 -0.25823215 476.366 4.2897552e-06 0.010934567 1e-05 0.32588882 0.33389897 777715.46 0.0020063709
0.082062411 0.19879076 498.25847 -0.25598952 476.42617 4.3629411e-06 0.01093548 1e-05 0.32589457 0.33389743 778291.58 0.0020061901
0.082044201 0.19894177 498.34007 -0.25591663 476.50886 4.3662554e-06 0.010937271 1e-05 0.32590646 0.33389577 778794.15 0.0020058611
0.082025536 0.19716518 498.46319 -0.24954329 476.62492 4.3272637e-06 0.010939973 1e-05 0.32592186 0.33389402 779230.32 0.002005373
0.082006416 0.21039897 498.57968 -0.24783538 476.73654 4.6177111e-06 0.01094253 1e-05 0.32593929 0.33389213 779610.64 0.0020048514
0.081987903 0.20470287 498.78545 -0.2412892 476.92783 4.4926966e-06 0.010947045 1e-05 0.32596058 0.33388997 779958.32 0.0020040476
0.08200672 0.23646357 498.94019 -0.23727986 477.10826 5.1897614e-06 0.010950442 1e-05 0.32598396 0.33388786 780196.7 0.0020032988
0.082028571 0.23513062 499.32292 -0.23635279 477.48099 5.1605067e-06 0.010958842 1e-05 0.32600819 0.3338856 780423.86 0.0020017694
0.0820571 0.24212187 499.43043 -0.23705212 477.59389 5.3139463e-06 0.010961201 1e-05 0.32603061 0.33388352 780490.11 0.0020013106
0.082082593 0.25348208 499.49769 -0.23535845 477.64399 5.5632735e-06 0.010962677 1e-05 0.3260577 0.3338817 780468.62 0.0020009958
