timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound cap.pressure cap.pressure.connected Ca eff.pressure
100000 0.27363 1528.9 30.434 1528.7 20.43 -4.1016e-05 3.3502 1400.9 28.119 0.05412 0.054995 0.00011748 0.20397
100000 0.32934 1079.7 74.293 1079.2 62.501 -0.00033407 0.80746 1006.2 66.176 0.044827 0.045186 8.2824e-05 0.24627
100000 0.3814 639.95 160.42 627.46 152.32 0.022546 -0.25271 594.78 143.98 0.040492 0.040393 0.00010127 0.31063
100000 0.43549 420.13 366.85 410.75 349.24 -0.0045053 -0.11067 369.3 321.91 0.034905 0.03438 0.00011772 0.28488
100000 0.48733 -15.134 649.87 -13.52 632.34 -0.0679 -0.23713 -6.96 610.46 0.033402 0.032793 8.2188e-05 0.34662
100000 0.53839 -4.8359 916.39 -4.3794 898.26 -0.023599 -0.17395 -0.18229 870.8 0.028499 0.027647 0.00012973 0.2672
100000 0.59057 -56.028 1121 -53.017 1104.8 -0.090434 -0.06303 -47.715 1059.6 0.02618 0.025399 0.00010412 0.25662
100000 0.64583 -36.178 1507 -32.217 1490.9 -0.29772 -0.081575 -28.554 1425.6 0.025108 0.023987 0.00012668 0.20258
100000 0.69646 0.1696 2356.4 2.2581 2335.9 -1.6124 -0.052163 1.1798 2255.7 0.020799 0.018841 0.00015166 0.13357
100000 0.74894 -0.87674 3172.2 0.89235 3149.8 -1.1789 -0.071503 7.6945 3120.5 0.021716 0.020601 0.00012507 0.1068
