timesteps sat.water eff.perm.oil.upper.bound eff.perm.water.upper.bound eff.perm.oil.film eff.perm.water.film eff.perm.oil.film.lower.bound eff.perm.water.film.lower.bound eff.perm.oil.lower.bound eff.perm.water.lower.bound eff.perm.oil.connected.upper.bound eff.perm.water.connected.upper.bound eff.perm.oil.connected.lower.bound eff.perm.water.connected.lower.bound eff.perm.oil.disconnected eff.perm.water.disconnected cap.pressure cap.pressure.connected pressure.drop Ca M eff.pressure
100000 0.27363 4.6567 0.24607 4.2669 0.22736 3.0994 0.062211 3.3825 0.067331 4.6561 0.16518 3.3821 0.045199 -9.0744e-08 0.007412 0.05412 0.054995 4.7553e-06 0.00011748 1 0.20397
100000 0.32934 3.5616 0.49908 3.3193 0.44455 2.2262 0.14641 2.3886 0.16437 3.5602 0.41986 2.3877 0.13828 -7.3909e-07 0.0017864 0.044827 0.045186 4.0476e-06 8.2824e-05 1 0.24627
100000 0.3814 2.2888 0.93053 2.1272 0.83518 1.3159 0.31854 1.4158 0.35491 2.2441 0.88355 1.3882 0.33699 4.9882e-05 -0.0005591 0.040492 0.040393 6.2422e-06 0.00010127 1 0.31063
100000 0.43549 1.6465 1.8637 1.4473 1.6354 0.81703 0.7122 0.92949 0.81161 1.6098 1.7742 0.90874 0.77265 -9.9675e-06 -0.00024485 0.034905 0.03438 6.655e-06 0.00011772 1 0.28488
100000 0.48733 -0.065309 2.9503 -0.030035 2.7714 -0.015398 1.3506 -0.033482 1.4378 -0.058344 2.8707 -0.029911 1.399 -0.00015022 -0.00052462 0.033402 0.032793 5.6533e-06 8.2188e-05 1 0.34662
100000 0.53839 -0.023178 3.7657 -0.00087368 3.5784 -0.0004033 1.9266 -0.010699 2.0274 -0.020989 3.6912 -0.0096889 1.9873 -5.221e-05 -0.00038485 0.028499 0.027647 6.8785e-06 0.00012973 1 0.2672
100000 0.59057 -0.30275 4.1995 -0.25783 3.9696 -0.10556 2.3443 -0.12396 2.4801 -0.28648 4.139 -0.1173 2.4443 -0.00020008 -0.00013945 0.02618 0.025399 5.3024e-06 0.00010412 1 0.25662
100000 0.64583 -0.22599 5.1623 -0.17837 4.8838 -0.063172 3.1541 -0.08004 3.334 -0.20125 5.1074 -0.071278 3.2985 -0.00065868 -0.00018048 0.025108 0.023987 5.0925e-06 0.00012668 1 0.20258
100000 0.69646 0.0012361 7.4853 0.0085992 7.1655 0.0026102 4.9905 0.00037521 5.2132 0.016458 7.4202 0.0049958 5.1679 -0.0035672 -0.00011541 0.020799 0.018841 4.02e-06 0.00015166 1 0.13357
100000 0.74894 -0.0077261 9.3709 0.067806 9.2179 0.017023 6.9037 -0.0019397 7.0183 0.0078636 9.3046 0.0019742 6.9686 -0.0026081 -0.00015819 0.021716 0.020601 2.6507e-06 0.00012507 1 0.1068
