sw krw krn krwf krnf vw vn force pw pn wet peff
0.27723857 0.72484041 2.7218602 0.65874497 2.5578501 7.6214558e-05 0.00028619455 1e-05 0.32803469 0.33527858 677743.77 0.29013254
0.27618493 0.52251392 2.3813113 0.47959592 2.2017126 5.4940601e-05 0.00025038696 1e-05 0.32784347 0.33533309 686530.25 0.34437335
0.27565998 0.45782458 2.2272267 0.42665185 2.0437241 4.8138733e-05 0.00023418548 1e-05 0.32771587 0.33537183 691154.42 0.37243237
0.27522065 0.37367894 2.3346388 0.34941324 2.1466333 3.9291098e-05 0.00024547951 1e-05 0.32768057 0.33537786 694320.26 0.36923289
0.27495103 0.28822055 2.3010817 0.26362566 2.1105935 3.0305432e-05 0.00024195109 1e-05 0.32767804 0.33537876 696516.52 0.38620443
0.27475662 0.23603209 2.3003917 0.21441058 2.1083936 2.4817989e-05 0.00024187854 1e-05 0.32767407 0.3353785 698456.31 0.39425588
0.27459618 0.20205552 2.2880886 0.18262948 2.0949061 2.1245466e-05 0.00024058491 1e-05 0.32766968 0.335379 700092.32 0.40158318
0.27448688 0.17904158 2.2754797 0.16124309 2.0804129 1.8825627e-05 0.00023925912 1e-05 0.32766441 0.33537981 701391 0.40741142
0.27437194 0.16573042 2.2661534 0.14828112 2.0705216 1.7426002e-05 0.00023827849 1e-05 0.32765874 0.33538066 702442.25 0.41120386
0.2743193 0.15576977 2.2470705 0.13817459 2.0523591 1.6378673e-05 0.00023627199 1e-05 0.32765321 0.33538144 703330.68 0.41617414
0.27427856 0.1472682 2.2342639 0.12990147 2.0402383 1.5484761e-05 0.00023492542 1e-05 0.32764696 0.33538263 704097.72 0.41989776
0.27423933 0.14082892 2.2228579 0.12297897 2.0298793 1.4807692e-05 0.00023372611 1e-05 0.32764008 0.33538401 704766.51 0.4230679
0.27421125 0.13503761 2.2131774 0.11738877 2.0210776 1.4198755e-05 0.00023270825 1e-05 0.32763282 0.33538557 705363.99 0.42585538
0.27417678 0.13062386 2.2043193 0.11288697 2.0129897 1.3734664e-05 0.00023177684 1e-05 0.32762573 0.33538698 705907.02 0.42827595
0.27415409 0.12029991 2.1971781 0.10542635 2.0067632 1.2649135e-05 0.00023102597 1e-05 0.3276227 0.33538643 706428.68 0.43150355
0.27413905 0.11391634 2.2054029 0.099740849 2.0141021 1.1977925e-05 0.00023189078 1e-05 0.32761635 0.33538778 706905.63 0.431161
0.27411373 0.10782921 2.2058555 0.093407233 2.0149618 1.1337883e-05 0.00023193837 1e-05 0.32760692 0.33539014 707350.3 0.432211
0.27409017 0.10052036 2.1978241 0.086293517 2.0072297 1.0569382e-05 0.00023109389 1e-05 0.32759408 0.33539351 707777.72 0.4350958
0.27408666 0.088812839 2.1724608 0.074376651 1.9835535 9.3383747e-06 0.00022842703 1e-05 0.32757162 0.33539979 708163.29 0.44222866
0.27406999 0.097755945 2.2435693 0.082564629 2.0526031 1.0278712e-05 0.00023590385 1e-05 0.32757756 0.33539692 708545.68 0.42710854
0.27404078 0.11058215 2.2188238 0.095331472 2.0282007 1.1627346e-05 0.00023330195 1e-05 0.32759328 0.33539104 708917.92 0.429294
0.27402211 0.11181493 2.222569 0.097437177 2.0321684 1.1756968e-05 0.00023369574 1e-05 0.32759681 0.33538941 709248.22 0.42837855
0.27399277 0.11263721 2.2217408 0.099176733 2.0317174 1.1843428e-05 0.00023360866 1e-05 0.32759902 0.33538823 709563.11 0.42837963
0.2739835 0.11377751 2.219207 0.10061128 2.0301262 1.1963327e-05 0.00023334223 1e-05 0.32760098 0.33538706 709864.14 0.42863552
0.27396595 0.11425769 2.2188848 0.10154913 2.0298136 1.2013816e-05 0.00023330836 1e-05 0.32760309 0.33538591 710152.24 0.42860649
0.27395793 0.11487237 2.218349 0.10207054 2.0294266 1.2078448e-05 0.00023325202 1e-05 0.32760512 0.33538485 710422.51 0.42859199
0.27395141 0.11514977 2.2176574 0.10218256 2.029436 1.2107616e-05 0.0002331793 1e-05 0.32760696 0.33538383 710673.92 0.42866809
0.27393136 0.1148905 2.2171926 0.10221259 2.0289054 1.2080354e-05 0.00023313043 1e-05 0.32760855 0.33538291 710909.97 0.42880118
0.27391255 0.11513935 2.2165071 0.10230674 2.0285293 1.210652e-05 0.00023305835 1e-05 0.32761011 0.33538203 711135.45 0.42888149
0.27391719 0.11521944 2.2165338 0.10264756 2.0285186 1.2114941e-05 0.00023306116 1e-05 0.32761169 0.33538114 711349.29 0.42886184
0.27390391 0.11443191 2.2147996 0.10213072 2.0269247 1.2032135e-05 0.00023287881 1e-05 0.32761157 0.33538081 711529.07 0.42932615
0.27389739 0.11479525 2.2151768 0.10248699 2.0272221 1.2070339e-05 0.00023291848 1e-05 0.32761287 0.33537996 711715.53 0.42918969
0.27388448 0.11510662 2.2145433 0.10256366 2.0268171 1.2103079e-05 0.00023285186 1e-05 0.32761372 0.33537925 711894.52 0.42924904
0.27387859 0.11541022 2.2143316 0.10277104 2.0267279 1.2135001e-05 0.00023282961 1e-05 0.3276145 0.33537858 712061.28 0.42923211
0.27387182 0.11559634 2.2144484 0.10268131 2.0270334 1.2154571e-05 0.00023284189 1e-05 0.3276152 0.33537791 712219.62 0.4291763
0.27387495 0.11610805 2.2146508 0.1028459 2.0271685 1.2208376e-05 0.00023286316 1e-05 0.32761591 0.3353772 712368.21 0.42904482
0.27387758 0.11597405 2.2154195 0.10300015 2.0275901 1.2194285e-05 0.00023294399 1e-05 0.3276166 0.33537651 712509.74 0.42892802
0.27387508 0.11611781 2.2161038 0.10278156 2.0283386 1.2209401e-05 0.00023301594 1e-05 0.32761738 0.33537577 712645.41 0.42877572
0.27386154 0.11562824 2.2174596 0.10259651 2.0289711 1.2157925e-05 0.0002331585 1e-05 0.32761817 0.335375 712778.18 0.42861653
0.27385327 0.11487441 2.2185194 0.10202028 2.0298256 1.2078662e-05 0.00023326993 1e-05 0.32761896 0.33537421 712910.68 0.42856033
0.27385665 0.11393754 2.219422 0.10134282 2.0307962 1.1980154e-05 0.00023336484 1e-05 0.3276197 0.33537343 713043.81 0.42856662
0.27384888 0.11225344 2.2198956 0.10013101 2.0312321 1.1803076e-05 0.00023341464 1e-05 0.32761988 0.33537297 713168.76 0.42878905
