sw krw krn krwf krnf vw vn force pw pn wet peff
0.0047302205 0.0016091604 0.56432352 -0.00032792158 0.61134133 1.8160935e-07 6.3689382e-05 1e-05 0.30704921 0.33353452 1666619.3 1.7669946
0.0043037849 0.0023048337 0.55835047 -5.8900538e-05 0.60305799 2.6012284e-07 6.3015265e-05 1e-05 0.30552465 0.3335697 1668058.3 1.7836271
0.0039770518 0.0016678959 0.55952571 -0.0002352776 0.5920728 1.8823823e-07 6.3147903e-05 1e-05 0.30500407 0.33360265 1669194.2 1.7819162
0.0036985377 0.0013303018 0.55932681 -8.5502035e-05 0.57659314 1.5013746e-07 6.3125455e-05 1e-05 0.3049575 0.33363262 1670140.1 1.7836214
0.0034521694 0.00088460076 0.55975828 1.1050475e-05 0.57079906 9.9835775e-08 6.3174151e-05 1e-05 0.30490213 0.33366259 1670962.3 1.7836666
0.0032374448 0.00085479628 0.55910686 2.7273205e-05 0.55918967 9.647205e-08 6.3100632e-05 1e-05 0.30483618 0.33369313 1671688.4 1.7858366
0.0030392954 0.00052822084 0.55844797 5.1029917e-05 0.55146828 5.9614845e-08 6.302627e-05 1e-05 0.30483256 0.33372227 1672328.7 1.788985
0.0028479267 0.00022339841 0.55816338 4.6966235e-05 0.54869535 2.5212677e-08 6.2994151e-05 1e-05 0.30458964 0.33375148 1672899.5 1.7908733
0.0026763982 0.00019058077 0.55780847 0.00012456381 0.54285844 2.1508888e-08 6.2954096e-05 1e-05 0.30447271 0.33377966 1673418.1 1.7921177
0.0025247097 -0.00013094309 0.5577762 0.00013966959 0.53648311 -1.4778197e-08 6.2950454e-05 1e-05 0.30432883 0.33380637 1673881.6 1.7932547
0.0023956237 -0.0006423294 0.55772349 0.00024274386 0.53167651 -7.2493102e-08 6.2944505e-05 1e-05 0.30423378 0.33383126 1674307.2 1.7950706
0.0022698026 -0.000553838 0.55693524 0.0003474932 0.53219742 -6.250599e-08 6.2855543e-05 1e-05 0.30407903 0.33385599 1674698.7 1.7973282
0.0021525203 -0.00078607094 0.55672085 0.00030874608 0.53276542 -8.871573e-08 6.2831348e-05 1e-05 0.30423319 0.33388047 1675059.6 1.7987721
0.0020540734 -0.00092579121 0.55666422 0.00032680401 0.53377384 -1.0448452e-07 6.2824956e-05 1e-05 0.30448158 0.33390309 1675387.8 1.7994077
0.0019556266 -0.00090068324 0.55604098 0.000394368 0.53166527 -1.0165084e-07 6.2754617e-05 1e-05 0.30476609 0.33392376 1675696.2 1.8013465
0.0018669742 -0.0011582173 0.55703299 0.00043848338 0.53496957 -1.3071606e-07 6.2866576e-05 1e-05 0.30523578 0.3339444 1675973.5 1.7989663
0.0017856049 -0.0011943933 0.55764487 0.00048253051 0.53562442 -1.3479886e-07 6.2935633e-05 1e-05 0.30575109 0.33396361 1676230.1 1.7971051
0.001712272 -0.0013255975 0.55866263 0.00056344277 0.53465784 -1.4960654e-07 6.3050496e-05 1e-05 0.30640976 0.33398234 1676469.6 1.7942465
0.0016537564 -0.0011064227 0.5592183 0.00064735608 0.53532213 -1.2487053e-07 6.3113209e-05 1e-05 0.30715877 0.33399952 1676690.2 1.7917554
0.0015841906 -0.00092427344 0.55947348 0.0005987485 0.53469743 -1.0431322e-07 6.3142009e-05 1e-05 0.30794701 0.33401647 1676892.5 1.7903525
0.0015229125 -0.00081753846 0.55959953 0.00057958691 0.53030738 -9.2267144e-08 6.3156234e-05 1e-05 0.30859756 0.33403258 1677081 1.7896067
0.0014756982 -0.00053209587 0.55948153 0.0004906133 0.5297471 -6.005218e-08 6.3142917e-05 1e-05 0.30922079 0.33404859 1677258.8 1.7890706
0.0014307441 -0.00041780808 0.55949813 0.00050820241 0.53197801 -4.7153694e-08 6.314479e-05 1e-05 0.31022131 0.33406298 1677427.6 1.7886518
0.0013845344 -0.00060935319 0.55977908 0.00042472659 0.52932589 -6.8771417e-08 6.3176499e-05 1e-05 0.31072173 0.33407629 1677589.7 1.7883658
0.0013438497 -0.00051178477 0.55973244 0.00041557746 0.52947536 -5.7759875e-08 6.3171235e-05 1e-05 0.31126866 0.33408913 1677745.6 1.7882029
0.0012971377 -0.00029669632 0.559651 0.00033474182 0.5282042 -3.3485058e-08 6.3162043e-05 1e-05 0.31199722 0.33410087 1677895.3 1.7877756
0.0012544439 -0.00036876331 0.55968115 0.00027027069 0.52445386 -4.1618516e-08 6.3165446e-05 1e-05 0.31228082 0.33411212 1678037.9 1.7879096
0.0012160195 -0.00053547536 0.55974159 0.00026353801 0.52002933 -6.0433588e-08 6.3172268e-05 1e-05 0.31295265 0.33412222 1678174.3 1.7882494
0.0011878918 -0.00064593163 0.55998837 0.00026189595 0.52103725 -7.2899649e-08 6.3200119e-05 1e-05 0.3133451 0.3341319 1678303.5 1.7878136
