time rn rw nun nuw Fx Fy Fz iftwn wet pwc pwd pnc pnd Mwc Mwd Mwi Mnc Mnd Mni Msw Msn Pwc_x Pwd_x Pwi_x Pnc_x Pnd_x Pni_x Psw_x Psn_x Pwc_y Pwd_y Pwi_y Pnc_y Pnd_y Pni_y Psw_y Psn_y Pwc_z Pwd_z Pwi_z Pnc_z Pnd_z Pni_z Psw_z Psn_z Kwc Kwd Kwi Knc Knd Kni Dwc Dwd Dnc Dnd Vwc Awc Hwc Xwc Vwd Awd Hwd Xwd Nwd Vnc Anc Hnc Xnc Vnd And Hnd Xnd Nnd Vi Ai Hi Xi Vic Aic Hic Xic Nic
100000 1 1 0.066666667 0.066666667 0 0 1e-05 0.046368 716934.7 0.32742093 0.32817411 0.33534017 0 1692044 490964 92113 5793742 1256 769385 242074 337570 1.666483 2.7820689 -0.34748169 835.87147 0.10262872 22.208661 17.094842 8.6807785 16.697727 -5.8188048 -3.5389179 -1607.2675 0.018936052 -65.176015 -8.1919971 -0.97548096 59.59037 9.2152748 5.2321934 1302.2231 -0.11707106 108.98468 13.961531 4.1567336 3.721808 2.2038189 28.346694 122.58912 0.03103061 47.764585 0.04745677 0.013353346 1.518748 0.00089423264 1692044 788812.13 189964.49 -1042 490964 361711.55 477009.06 24461 25688 5793742 593165.98 8359.9259 -50 1256 2179.6431 3295.1626 104.625 106 4024081 2041619.9 -40386.505 466.625 3995818 2009545.2 -66832.925 -32 583
210000 1 1 0.066666667 0.066666667 0 0 8.5117731e-06 0.046368 623203.48 0.32883024 0.32940866 0.33533704 0 2270165 357287 146994 5346894 3660 773898 278504 342663 7.3575491 1.7075406 2.8697789 754.09031 0.00042291034 10.23152 23.772278 4.2966863 -9.2064774 -6.7406949 -1.9611999 -1213.919 -0.023065175 -37.329809 7.0002917 5.8138698 115.65784 3.1267263 12.978392 847.93574 -0.25715953 57.655551 -2.0277884 -3.1397838 5.4326879 1.6587594 42.901383 100.42044 0.055977629 60.750786 0.079880141 0.0091748097 1.2446651 0.0019961065 2270165 990216.43 208222.6 -1366 357287 271011.09 416173.22 22005 23195 5346894 520089.92 8438.0403 -37 3660 5418.0006 6366.0083 158.625 160 4043187 2065240.7 -50623.44 433.625 4016079 2035332.6 -73928.672 -11 541
320000 1 1 0.066666667 0.066666667 0 0 1.3126908e-05 0.046368 553088.48 0.32956007 0.331437 0.33537662 0.33861136 2860516 182324 177632 4844577 90589 721870 290809 303960 30.865051 1.9252686 2.7762366 856.3009 0.6691086 17.252848 36.731397 8.9545356 1.1766114 -6.9053768 -1.0093669 -949.89325 -0.17094758 -27.501763 12.115354 -5.6887564 344.98073 -3.4249879 34.998644 839.11122 0.99746471 59.298079 6.2227294 8.3467139 7.7975957 1.0862116 48.437893 87.784126 1.0593191 64.191246 0.10870429 0.0045806041 1.0461155 0.022845642 2860516 1118574.2 213864.91 -1658 182324 177889.77 332919.59 18624.625 19464 4844577 444750.72 7414.2458 -23 90589 26412.985 11823.903 221 222 3981158 2087368.9 -51120.15 351.625 3953959 2057600 -75217.216 -105 553
431000 1 1 0.066666667 0.066666667 0 0 1.3995089e-05 0.046368 481472.34 0.33035314 0.33161511 0.33530391 0.33937827 3299005 175370 229974 4401948 101683 705726 269508 283981 14.319904 7.4189752 -3.1615385 897.04711 0.056452873 23.380973 37.260694 1.8327822 23.067975 -10.870184 -29.83292 -1215.7523 -1.081145 -50.752896 19.331006 -19.554435 731.20357 -1.8983106 89.325983 644.51886 -0.17276083 77.956835 10.042671 21.018373 9.723576 1.005045 61.19831 75.533366 1.2148099 75.742664 0.13264623 0.0051044084 0.87402689 0.027887771 3299005 1193002.9 198791.1 -1790 175370 157476.87 273801.57 14860.625 15619 4401948 390803.29 7713.2774 -20 101683 32582.387 14717.129 235 236 3977016 2113004.7 -52394.83 353.625 3950348 2082996.4 -79521.483 -151 592
542000 1 1 0.066666667 0.066666667 0 0 1.1888544e-05 0.046368 429155.82 0.33074028 0.3324981 0.33546253 0.33886659 3762354 125574 210136 3972918 117160 620989 246707 248820 39.302558 5.0647689 -12.304267 938.25876 -4.022139 49.909309 29.84237 -2.3665772 79.315269 -9.8510788 -17.955998 -551.61462 -1.9025694 7.7463172 24.703697 -16.881574 986.1534 -5.3996311 59.465801 -19.96716 -1.7433436 -11.725934 -6.5130606 8.603441 11.06548 0.7998349 54.464722 63.082952 1.2134794 67.011667 0.13858266 0.0033236922 0.74858133 0.028538674 3762354 1220674.5 182240.58 -1796 125574 129028.61 241070.99 13129.625 13711 3972918 335267.94 7071.6969 -15 117160 36331.818 15323.853 241 243 3813705 2130586.2 -45266.036 263.625 3786722 2099911.7 -73190.643 -253 604
654000 1 1 0.066666667 0.066666667 0 0 1.4465052e-05 0.046368 362493.03 0.33133812 0.33278464 0.33531922 0.33847646 4192394 102892 243716 3538346 144374 589721 221854 218599 81.013624 3.833099 -19.847423 818.01515 0.87510235 64.510395 38.201209 -1.6942313 49.14019 -3.8122649 -24.129477 -486.25557 -2.389584 -9.8499743 20.806377 -29.24624 1529.6199 -6.4981876 75.768392 -8.8360332 -0.53867384 -9.0213286 -11.508081 9.350082 14.645914 0.57911026 63.836472 51.772892 1.6844838 74.784533 0.16229254 0.0026471984 0.61314008 0.037119084 4192394 1275705.4 166223.11 -1846 102892 98808.803 174832.94 9514.625 9874 3538346 284481.94 6424.8125 -11 144374 41461.251 15921.704 237 239 3766231 2160704.3 -42662.062 112.625 3740058 2130525.8 -71178.463 -449 642
766000 1 1 0.066666667 0.066666667 0 0 1.1150548e-05 0.046368 304340.01 0.33168775 0.33303361 0.33534518 0.33930358 4634233 77319 246316 3148574 117880 521565 190420 183660 117.23067 1.4574248 -13.305717 806.27707 0.21594215 52.470679 27.756615 4.8492822 39.021418 -2.3665209 -8.0744024 -421.32114 -0.50511331 -11.480772 20.44053 -21.338465 1312.0326 -2.649431 71.688584 -92.667168 -1.7286031 -14.00673 -10.670996 1.562856 14.435274 0.40655639 62.714504 43.936383 1.3894552 72.068981 0.1704744 0.0022319813 0.5015396 0.031566463 4634233 1305461.3 149418.68 -1774 77319 69028.749 126923.17 6943.625 7211 3148574 237853.3 5262.6375 -8 117880 37135.274 15832.655 249 250 3646203 2187537.8 -37315.646 71.625 3619054 2155629.1 -68125.163 -512 671
879000 1 1 0.066666667 0.066666667 0 0 1.0709124e-05 0.046368 260959.73 0.33197122 0.33308097 0.33542531 0.3384143 5084201 68230 233219 2622733 202842 444626 158297 137445 154.09127 1.0988437 -9.5597922 606.49398 -0.17145811 -3.6850332 20.709107 -0.71365401 52.545786 -0.37759869 -9.9637932 41.586605 -0.90856189 35.687824 16.761036 -12.334112 1549.9329 -4.0811218 83.408405 -64.925773 -2.7475428 -14.261478 -14.831717 4.1325231 14.901433 0.31292918 57.678903 35.707293 2.6129027 65.289807 0.17145949 0.0018085774 0.39545516 0.053933943 5084201 1307987.5 127850.62 -1721 68230 55837.373 102787.9 5843.625 6049 2622733 181220.34 4593.2325 -1 202842 51089.623 16276.97 247 248 3501155 2203781 -33421.629 70.625 3472573 2170643.5 -64193.723 -524 678
991000 1 1 0.066666667 0.066666667 0 0 8.4538904e-06 0.046368 215251.26 0.33234804 0.33314733 0.33506113 0.33673365 5499753 56616 253835 1967496 454141 403484 127334 91133 94.503961 0.42142694 -0.68838359 392.10011 1.8088354 -9.6746417 25.657729 0.55258457 80.773038 -0.20370827 -0.79709068 6.719675 0.90474115 32.313653 23.763929 -14.171902 1772.1 -2.6773485 75.576716 4.7886165 -4.4964097 -1.7405483 -17.940089 -7.6350022 17.285831 0.21983345 62.146388 20.197502 10.347336 68.046191 0.18458956 0.0016616345 0.21545402 0.14595633 5499753 1324456.4 104207.35 -1446 56616 40945.452 70220.877 3907.625 4036 1967496 117647.77 3072.9012 0 454141 81343.101 17455.8 237 238 3440369 2229988.5 -31199.767 60.625 3412492 2197028.1 -62155.597 -531 678
1103000 1 1 0.066666667 0.066666667 0 0 5.5742038e-06 0.046368 185584.86 0.33248618 0.33313519 0.33545274 0.33658793 5921585 53476 212654 1695895 307050 305576 103509 74940 -110.76918 0.51672994 -10.209964 1.9492775 1.1922006 -84.696331 18.548586 1.6810626 49.341649 -0.22667381 27.449012 6.6666414 1.5012195 68.809426 6.3835098 -5.4991318 1463.361 -2.7550136 23.84635 1.4475825 -2.6518187 -11.772942 -14.224797 -6.8781468 22.910018 0.18124232 48.621169 13.23747 6.4373202 51.70012 0.2162131 0.0017220156 0.15430588 0.097539769 5921585 1307429.3 89522.862 -1298 53476 35166.154 49428.101 2498.625 2624 1695895 92586.725 2389.8592 1 307050 64960.365 17182.453 241 242 3248385 2233326.5 -27753.341 5.625 3219965 2200423.8 -55739.716 -557 648
